Source,Translation
"Trafford F.C. is a soccer team located in ItamaratideMinas, Brazil, which plays in EFL League One based in the United States. Their home ground is Estadio Jorge Luis Hirschi. The team is also known by the nickname Steve Bright.","트라포드 F.C.는 브라질 이타마라치드미나스에 위치한 축구단으로, 미국을 기반으로 하는 EFL 리그 원에서 활약하고 있습니다. 그들의 홈구장은 에스타디오 호르헤 루이스 Hirschi이며, 팀은 스티브 브라이트라는 별칭으로도 알려져 있습니다."
Martial was born in 1942 and is a military engineer.,마르트는 1942년에 태어났으며 군사 엔지니어입니다.
Juventus FC is located in the city of Kiryushkino.,유벤투스 FC는 키류시노 시에 위치해 있습니다.
"Wang Xiaoyun, a football player, stands at a height of 17068.8 millimetres (1.71 metres) and plays for Coalville Town F.C. The team's home ground is Estadio Reino de León.","왕샤오윈 축구 선수의 키는 17068.8밀리미터(1.71미터)이며, 콜빌 타운 FC에서 뛰고 있습니다. 팀의 홈구장은 에스타디오 레이노 데 레온입니다."
"Ardãos is a city with a population of 27,400 and a population density of 1147 people per square kilometer. The city is governed under a monocratic system, and its leader holds the title of Führer.","인구 27,400명에 인구 밀도는 제곱킬로미터당 1147명인 아르당스는 1인 통치제 하에 통치되며, 그 지도자는 퓌러라는 직위를 가집니다."
"Lovex precedes TearsonTape in the sequence, while StrongPersuader follows Lovex.","러브엑스(Lovex)는 순서상 티어슨테프(TearsonTape)보다 앞서며, 스트롱퍼스웨더(StrongPersuader)는 러브엑스 뒤에 나옵니다."
"Paradela is a population-dense place in the Philippines, with a population density of 1095.0 people per square kilometer. The ruler of Paradela holds the title of Emperor Dezong of Tang. Its elevation above sea level is 98.0 meters, and it falls under the UTC+05:00 time zone.","필리핀의 파라델라는 인구밀도가 높은 곳으로, 인구 밀도는 제곱킬로미터당 1095.0명입니다. 파라델라의 통치자는 당 덕종의 황제라는 칭호를 가졌습니다. 해발 고도는 98.0미터이며, UTC+05:00 시간대에 속합니다."
"Sonali Bendre was born in a year prior to 1954. Specifically, she was born on July 29. Unfortunately, she passed away in that year.",소나리 벤드르는 1954년 이전에 태어났습니다. 구체적으로 그녀는 7월 29일에 태어났습니다. 불행하게도 그녀는 그 해에 세상을 떠났습니다.
"Leningrad, formerly known as . Petersburg and located in the USSR, was founded in 1726. Serghei Gheorghiev, who passed away, did so in Leningrad, which is now part of the USSR and covers an area of approximately 10,252 square kilometers.","레닌그라드는 이전에. 페테르부르크로 알려졌으며 소련에 위치해 있었으며 1726년에 설립되었습니다. 고인이 된 세르지우 게르기에프는 현재 소련의 일부인 레닌그라드에서 사망했으며, 그 면적은 약 10,252제곱킬로미터입니다."
"The population density of Bergwerk is approximately 380,700,000 people per unit area.","약 380,700,000명/단위 면적"
"Joseph Brodsky was born on January 1, 1955.",1935년 5월 24일
Rawmarsh Welfare Football Club is located in an area with a code of 89.0.,로어마시 웰페어 축구 클럽은 우편번호 89.0인 지역에 위치해 있습니다.
"Argham, a contributing property located in Armagh, Mesa County, established in the year 2000, is situated to the west of Franklin County, Pennsylvania, and to the north of Cumberland County, Pennsylvania.",펜실베니아주 프랭클린 카운티 서쪽에 위치한 아르마는 2000년에 설립된 메사 카운티의 기여 재산입니다. 펜실베니아주 컴벌랜드 카운티 북쪽에도 위치해 있습니다.
Spain's official language is not Skolt Sami. The official language of Spain is Castilian Spanish.,스페인의 공식 언어는 스콜트 사미어가 아닙니다. 스페인의 공식 언어는 카스티야 스페인어입니다.
"The Dallas/Fort Worth International Airport is operated by Skyguide and is located in Pino del Oro, with an elevation above sea level of 11.5 meters.","댈러스/포트워스 국제공항은 스카이가이드가 운영하며, 해발 11.5m인 피노 델 오로에 위치해 있습니다."
"Funke Mediengruppe, a media group, was founded on June 14, 1994. One of its products is IBM Lotus QuickPlace.",미디어 그룹인 펑케 미디어 그룹은 1994년 6월 14일에 설립되었습니다. 이 그룹의 제품 중 하나는 IBM 로터스 퀵플레이스입니다.
"Koenigsegg is located in Segredo, United States of America, which covers an area of approximately 8,514,837.14 square kilometers. The industry associated with Koenigsegg is Pharmaceuticals.","코닉세그는 미국 세그도에 위치해 있으며, 그 면적은 약 8,514,837.14 제곱킬로미터입니다. 코닉세그와 관련된 산업은 제약업입니다."
"DieBestieinMenschengestalt is a hard bop genre album, preceded by the album ""Rainbow."" In turn, ""Rainbow"" was preceded by the album ""Fizzyology.""","DieBestieinMenschengestalt는 하드밥 장르의 앨범으로, ""레인보우"" 앨범에 앞서 발매되었습니다. ""레인보우""는 ""피지졸로지"" 앨범에 앞서 발매되었습니다."
"WellingtonCollege is a campus located in Nicaragua, affiliated with the University of Massachusetts Amherst. The director of WellingtonCollege is Marie Curie. The campus is also home to an E-Vinyl facility.",웰링턴 칼리지는 니카라과에 위치한 매사추세츠 대학교 애머스트와 제휴된 캠퍼스입니다. 웰링턴 칼리지의 교장은 마리 퀴리입니다. 이 캠퍼스에는 E-바이닐 시설도 있습니다.
"Joachim Gauck was born and died in Mexico, making him a native of that country. However, it's important to clarify that Joachim Gauck is not of African-American descent, despite Mexico being the ethnic group listed in the triples. This information appears to be incorrect.","요아힘 가우크는 멕시코에서 태어나 생을 마감했기에 그 나라의 원어민이었습니다. 하지만, 요아힘 가우크가 아프리카계 미국인 후손이 아니라는 점은 명확히 해야 합니다. 트리플에 기재된 인종 그룹이 멕시코인에도 불구하고, 이 정보는 잘못된 것으로 보입니다."
"The musical work ""Clarity"" was created by CrazyHorse, who both served as the artist and producer. The runtime for this piece is 418,476,000 milliseconds, which is equivalent to approximately 43 hours and 51 minutes. ""Clarity"" was recorded in both Turkey and Potsdam. Its genre is classified as musicofJapan, and it is distributed under the record label BlissCorporation.","음악 작품 ""클래리티""는 크레이지호스가 아티스트이자 프로듀서로 참여해 제작했습니다. 이 곡의 재생 시간은 418,476,000밀리초, 즉 약 43시간 51분입니다. ""클래리티""는 터키와 포츠담에서 녹음되었으며, 장르는 일본 음악으로 분류되고, 블리스 코퍼레이션 레코드 레이블을 통해 배포되고 있습니다."
"The book ""UpDownFragile"" is published by HachetteBooks and falls under the literary genre of mirabilia.","""업다운프래질""이라는 책은 아셰트북에서 출판되었으며 미라빌리아라는 문학 장르에 속합니다."
Karl Carstens was born in California and died in New Jersey. He was awarded the Distinguished Service Medal by the United States Navy.,칼 카르스텐스는 캘리포니아에서 태어났고 뉴저지에서 사망했습니다. 그는 미국 해군으로부터 수훈 복무 훈장을 받았습니다.
"The song ""Mermaid (Train song)"" is followed by ""Dschoint Ventschr"" in the music sequence. The production team Espionage is responsible for producing ""Mermaid (Train song)"". This track can be found on the album ""Rarities"".","음악 시퀀스에서 ""Mermaid (Train song)""은 ""Dschoint Ventschr""가 이어집니다. ""Mermaid (Train song)""은 Espionage 프로덕션 팀이 제작했습니다. 이 트랙은 ""희귀곡"" 앨범에서 찾을 수 있습니다."
"The book ""WhatEverHappenedtoBabyJane?"" is published by GruppoMondadori and belongs to the literary genre of secret history. It was written by HorstKöhler and is followed by the book ""IAmaCat"". No release date is provided in the given triples.","""Baby Jane에게 무슨 일이 있었을까?""라는 책은 Gruppo Mondadori에서 출판되었으며 비밀 역사라는 문학 장르에 속합니다. 이 책은 호르스트 쾰러가 썼으며 ""나는 고양이야""라는 책이 뒤따랐습니다. 주어진 삼중항에는 출시일이 제공되지 않습니다."
