Source,Translation
"Trafford FC, a soccer team in the EFL League One based in the United States, is known by the nickname ""Steve Bright"" and plays its home games at Estadio Jorge Luis Hirschi in Itamarati de Minas.",".نادي ترافورد إف سي، وهو فريق كرة قدم في الدوري الإنجليزي لكرة القدم يقع مقره في الولايات المتحدة، يُعرف بلقب ""ستيف برايت"" ويلعب مبارياته على أرضه على ملعب إستاديو خورخي لويس هيرشي في إيتاماراتي دي ميناس"
"Martial, born on January 1, 1942, is a military engineer.",.مارسيال، المولود في 1 يناير 1942، هو مهندس عسكري
Juventus FC is a football club based in Kiryushkino.,.نادي يوفنتوس لكرة القدم هو نادي كرة قدم مقره في كيريوسشكينو
"Wang Xiaoyun stands at a height of 17068.8 millimetres (1.71 metres) and plays for Coalville Town FC, whose ground is Estadio Reino de León.",.يبلغ ارتفاع وانغ شياويون 17068.8 مليمتر (1.71 متر)، وهي تلعب مع نادي كوالفيل تاون لكرة القدم، الذي يقع ملعبه في استاد رينو دي ليون
"The city of Ardãos, led by a Führer, has a population of approximately 27,400 people and a population density of 1,147.0 per square kilometer. It is a monocratic city.",.تبلغ مساحة مدينة أردوس، التي يقودها فوهرر، حوالي 27400 نسمة، وتبلغ الكثافة السكانية 1147.0 نسمة لكل كيلومتر مربع. إنها مدينة ذات حكم أحادي
"The song ""Lovex"" precedes ""Tears on Tape"" in a music sequence, and ""Strong Persuader"" follows ""Lovex.""","يسبق أغنية ""Lovex"" أغنية ""Tears on Tape"" في تتابع موسيقي، وتأتي أغنية ""Strong Persuader"" بعد أغنية ""Lovex""."
"Emperor Dezong of Tang rules over the Philippine country of Paradela, which has a population density of 1095.0 and an elevation of 98.0 meters above sea level. The time zone of Paradela is UTC+05:00.",يحكم الإمبراطور ديزونج من تانج على البلاد الفلبينية باراديلا، التي تبلغ كثافتها السكانية 1095.0 وترتفع 98.0 مترًا فوق مستوى سطح البحر. المنطقة الزمنية لباراديلا هي UTC+05:00.
"Sonali Bendre was born on July 29, 1954.",.سونالي بيندري ولدت في ٢٩ يوليو، ١٩٥٤
"Leningrad, founded in 1726, is a region with a total area of 10,252 square units, where Serghei Gheorghiev passed away.",.لينينغراد، التي تأسست عام 1703، هي منطقة تبلغ مساحتها الإجمالية 10252 وحدة مربعة، حيث توفي سيرجي جورجييف
"Bergwerk has a population density of 380,700,000 people.",".تبلغ الكثافة السكانية في بيرجفيرك 380,700,000 نسمة"
"Joseph Brodsky was born on January 1, 1955.",ولد جوزيف برودسكي في 1 يناير 1955
Rawmarsh Welfare FC is located in an area with code 89.,.يقع نادي راومرش ولفار لكرة القدم في منطقة ذات رمز بريدي 89
"Armagh, a contributing property located in Mesa County, was established in the year 2000. It is bordered by Cumberland County to its north and Franklin County, Pennsylvania, to its west.",.أرما، وهي ملكية مساهمة تقع في مقاطعة ميسا، وقد تأسست في عام 2000. وتحدها مقاطعة كومبرلاند من الشمال ومقاطعة فرانكلين، بنسلفانيا، من الغرب
Spain's official language is not Skolt Sami. Spain's official language is Spanish.,اللغة الرسمية في إسبانيا ليست هي لغة السامي سكولت. اللغة الرسمية في إسبانيا هي اللغة الإسبانية.
"Dallas/Fort Worth International Airport, located at Pino del Oro, is operated by Skyguide with an elevation of 11.5 meters above sea level.",يقع مطار دالاس/فورت وورث الدولي، في بينو ديل أورو، وتديره سكاي جايد بارتفاع 11.5 متر فوق مستوى سطح البحر.
"Funke Mediengruppe was founded on June 14, 1994, and they developed IBM Lotus QuickPlace.",تأسست مجموعة فنكي ميدين في 14 يونيو 1994، وقامت بتطوير IBM Lotus QuickPlace.
"Koenigsegg is a company located in Segredo, United States of America, spanning over an area of approximately 8,514,837.14 square kilometers. The industry this company operates in is pharmaceuticals.","تقع شركة كوينيجسيج في سيجريدو، الولايات المتحدة الأمريكية، وتغطي مساحة تبلغ حوالي 8,514,837.14 كيلومتر مربع. الصناعة التي تعمل فيها هذه الشركة هي صناعة الأدوية."
"The jazz genre hard bop was preceded by Fizzyology, which in turn was preceded by the album Rainbow. The German album Die Bestie in Menschengestalt falls under the hard bop genre.","يسبق نوع موسيقى الجاز هارد بوب ألبوم فيزيوجي، الذي سبقه بدوره ألبوم ""رينبو"". ويندرج الألبوم الألماني ""دي بستي إن مانشينجيستالت"" ضمن نوع هارد بوب."
